studyId,pmid
normal_skin_melanocytes_2024,33029006
normal_skin_melanocytes_2024,38895302
normal_skin_melanocytes_2024,39091884
normal_skin_melanocytes_2024,39975212
npc_nusingapore,24952746
nsclc_ctdx_msk_2022,36357680
nsclc_mskcc_2015,25765070
nsclc_mskcc_2018,29657128
nsclc_pd1_msk_2018,29337640
nsclc_tcga_broad_2016,27158780
nsclc_tracerx_2017,28445112
nsclc_tracerx_2017,28445469
nsclc_unito_2016,27346245
nst_nfosi_ntap,32561749
ntrk_msk_2019,31871300
odg_msk_2017,28472509
ov_tcga_pan_can_atlas_2018,29596782
ov_tcga_pan_can_atlas_2018,29617662
ov_tcga_pan_can_atlas_2018,29622463
ov_tcga_pan_can_atlas_2018,29625048
ov_tcga_pan_can_atlas_2018,29625049
ov_tcga_pan_can_atlas_2018,29625050
ov_tcga_pan_can_atlas_2018,29625055
ov_tcga_pan_can_atlas_2018,29850653
ov_tcga_pan_can_atlas_2018,30643250
ov_tcga_pan_can_atlas_2018,32214244
ov_tcga_pan_can_atlas_2018,36334560
ov_tcga_pub,21720365
ovary_geomx_gray_foundation_2024,39386723
paac_jhu_2014,24293293
paad_cptac_2021,34534465
paad_iatlas_prince_2022,35662283
paad_icgc,23103869
paad_qcmg_uq_2016,26909576
paad_tcga_pan_can_atlas_2018,29596782
paad_tcga_pan_can_atlas_2018,29617662
paad_tcga_pan_can_atlas_2018,29622463
paad_tcga_pan_can_atlas_2018,29625048
paad_tcga_pan_can_atlas_2018,29625049
paad_tcga_pan_can_atlas_2018,29625050
paad_tcga_pan_can_atlas_2018,29625055
paad_tcga_pan_can_atlas_2018,29850653
paad_tcga_pan_can_atlas_2018,30643250
paad_tcga_pan_can_atlas_2018,32214244
paad_tcga_pan_can_atlas_2018,36334560
paad_utsw_2015,25855536
pact_jhu_2011,22158988
paired_bladder_2022,36543146
pan_origimed_2020,35871175
pancan_mappyacts_2022,35292802
pancan_mimsi_msk_2024,39746944
pancan_pcawg_2020,32025007
pancan_pdx_uthsa_2023,37990009
pancreas_ctdna_msk_2025,40511613
pancreas_msk_2024,39214094
panet_arcnet_2017,28199314
panet_jhu_2011,21252315
panet_msk_2018,30687805
panet_shanghai_2013,24326773
past_dkfz_heidelberg_2013,23817572
pcnsl_mayo_2015,25991819
pcnsl_msk_2024,38995739
pcpg_tcga_pan_can_atlas_2018,29596782
pcpg_tcga_pan_can_atlas_2018,29617662
pcpg_tcga_pan_can_atlas_2018,29622463
pcpg_tcga_pan_can_atlas_2018,29625048
pcpg_tcga_pan_can_atlas_2018,29625049
pcpg_tcga_pan_can_atlas_2018,29625050
pcpg_tcga_pan_can_atlas_2018,29625055
pcpg_tcga_pan_can_atlas_2018,29850653
pcpg_tcga_pan_can_atlas_2018,30643250
pcpg_tcga_pan_can_atlas_2018,32214244
pcpg_tcga_pan_can_atlas_2018,36334560
pcpg_tcga_pub,28162975
pdac_msk_2024,39753968
pediatric_dkfz_2017,29489754
plmeso_msk_2024,38630790
plmeso_nyu_2015,25488749
pog570_bcgsc_2020,35121966
pptc_2019,31693904
prad_broad,22610119
prad_broad_2013,23622249
prad_cdk12_mskcc_2020,32317181
prad_cpcg_2017,28068672
prad_eururol_2017,28927585
prad_fhcrc,26928463
prad_mcspc_mskcc_2020,32220891
prad_mich,22722839
prad_msk_2019,31564440
prad_msk_mdanderson_2023,38488813
prad_msk_stopsack_2021,34667026
prad_mskcc,20579941
prad_mskcc_2014,25024180
prad_mskcc_2017,28825054
prad_mskcc_cheny1_organoids_2014,25201530
prad_organoids_msk_2022,35617398
prad_p1000,29610475
prad_pik3r1_msk_2021,35670774
prad_su2c_2015,26000489
prad_su2c_2019,31061129
prad_tcga_pan_can_atlas_2018,29596782
prad_tcga_pan_can_atlas_2018,29617662
prad_tcga_pan_can_atlas_2018,29622463
prad_tcga_pan_can_atlas_2018,29625048
prad_tcga_pan_can_atlas_2018,29625049
prad_tcga_pan_can_atlas_2018,29625050
prad_tcga_pan_can_atlas_2018,29625055
prad_tcga_pan_can_atlas_2018,29850653
prad_tcga_pan_can_atlas_2018,30643250
prad_tcga_pan_can_atlas_2018,32214244
prad_tcga_pan_can_atlas_2018,36334560
prad_tcga_pub,26544944
prostate_dkfz_2018,30537516
prostate_msk_2024,38949888
prostate_pcbm_swiss_2019,35504881
